replicate,rank,top-100 model,top-100 acquired
1,0,0.06,0.02
1,1,0.08,0.03
1,2,0.17,0.04
1,3,0.17,0.07
1,4,0.24,0.11
1,5,0.27,0.15
2,0,0.22,0.02
2,1,0.22,0.09
2,2,0.22,0.13
2,3,0.17,0.16
2,4,0.28,0.17
2,5,0.31,0.24
3,0,0.04,0.0
3,1,0.1,0.01
3,2,0.11,0.04
3,3,0.15,0.08
3,4,0.11,0.09
3,5,0.21,0.1
4,0,0.05,0.0
4,1,0.13,0.02
4,2,0.13,0.05
4,3,0.14,0.09
4,4,0.18,0.1
4,5,0.19,0.16
5,0,0.19,0.03
5,1,0.11,0.07
5,2,0.23,0.07
5,3,0.23,0.13
5,4,0.22,0.17
5,5,0.29,0.2
