replicate,rank,top-100
1,1,0.08
1,2,0.1
1,3,0.1
2,1,0.07
2,2,0.08
2,3,0.1
3,1,0.03
3,2,0.07
3,3,0.07
4,1,0.07
4,2,0.04
4,3,0.09
5,1,0.05
5,2,0.06
5,3,0.08
