replicate,rank,top-100 model,top-100 acquired
1,0,0.08,0.02
1,1,0.13,0.05
1,2,0.21,0.08
1,3,0.25,0.13
1,4,0.3,0.15
1,5,0.27,0.2
2,0,0.15,0.02
2,1,0.15,0.07
2,2,0.23,0.1
2,3,0.19,0.12
2,4,0.26,0.15
2,5,0.32,0.2
3,0,0.04,0.0
3,1,0.05,0.01
3,2,0.11,0.03
3,3,0.16,0.06
3,4,0.15,0.08
3,5,0.19,0.11
4,0,0.07,0.0
4,1,0.06,0.0
4,2,0.11,0.01
4,3,0.11,0.03
4,4,0.2,0.06
4,5,0.27,0.13
5,0,0.14,0.03
5,1,0.21,0.07
5,2,0.22,0.14
5,3,0.25,0.18
5,4,0.3,0.23
5,5,0.35,0.26
