replicate,rank,top-100 model,top-100 acquired
1,0,0.0,0.02
1,1,0.07,0.02
1,2,0.07,0.02
1,3,0.15,0.02
1,4,0.25,0.08
1,5,0.27,0.14
2,0,0.24,0.02
2,1,0.15,0.09
2,2,0.24,0.13
2,3,0.3,0.18
2,4,0.3,0.21
2,5,0.32,0.26
3,0,0.04,0.0
3,1,0.15,0.01
3,2,0.18,0.09
3,3,0.2,0.13
3,4,0.24,0.14
3,5,0.27,0.18
4,0,0.0,0.0
4,1,0.14,0.0
4,2,0.25,0.04
4,3,0.25,0.11
4,4,0.25,0.16
4,5,0.33,0.19
5,0,0.19,0.03
5,1,0.13,0.05
5,2,0.15,0.1
5,3,0.24,0.15
5,4,0.24,0.18
5,5,0.27,0.21
