replicate,rank,top-100 model,top-100 acquired
1,0,0.0,0.0
1,1,0.03,0.0
1,2,0.03,0.0
1,3,0.12,0.01
1,4,0.15,0.05
1,5,0.17,0.09
1,6,0.21,0.11
1,7,0.25,0.15
1,8,0.26,0.2
1,9,0.33,0.25
1,10,0.34,0.32
1,11,0.4,0.35
1,12,0.43,0.4
1,13,0.46,0.44
1,14,0.46,0.45
1,15,0.49,0.48
2,0,0.07,0.02
2,1,0.08,0.04
2,2,0.13,0.06
2,3,0.13,0.08
2,4,0.14,0.1
2,5,0.14,0.12
2,6,0.13,0.12
2,7,0.14,0.13
2,8,0.14,0.14
2,9,0.14,0.14
2,10,0.14,0.14
2,11,0.14,0.14
2,12,0.14,0.14
2,13,0.15,0.15
2,14,0.18,0.17
2,15,0.22,0.21
