,ids,SMILES
17182,Z2847939608,Cc1cc(C)nc(C(=O)NC2CC(CC(=O)[O-])C2)c1
17183,Z2864068034,COC1CC[NH+](Cc2cn(CC[C@@H]3CCCC3(F)F)nn2)CC1
17184,Z2864068034,COC1CC[NH+](Cc2cn(CC[C@H]3CCCC3(F)F)nn2)CC1
17185,Z2900717551,CCOc1cccnc1N1CCN(c2cc(C)ncn2)CC1
17186,Z2906004365,Cn1nc(-c2cccnc2)cc1C(=O)NC1(C(F)(F)F)CCCCC1
17187,Z2936915760,NC(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC1CCCC1
17188,Z2936915760,NC(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC1CCCC1
17189,Z2936915760,NC(=O)[C@H](O)[C@@H](Cc1ccccc1)NC(=O)OC1CCCC1
17190,Z2936915760,NC(=O)[C@@H](O)[C@@H](Cc1ccccc1)NC(=O)OC1CCCC1
17191,Z2936916615,C[C@@H]1C[C@H](C(=O)N=S(=O)(c2ccccc2)c2ccccc2)CCO1
17192,Z2936916615,C[C@H]1C[C@H](C(=O)N=S(=O)(c2ccccc2)c2ccccc2)CCO1
17193,Z2936916615,C[C@@H]1C[C@@H](C(=O)N=S(=O)(c2ccccc2)c2ccccc2)CCO1
17194,Z2936916615,C[C@H]1C[C@@H](C(=O)N=S(=O)(c2ccccc2)c2ccccc2)CCO1
17195,Z2951388510,CC1(C)CC(=O)NCC[NH+]1Cc1ncc(C2CC2)o1
17196,Z2967448020,O=S(=O)(c1ccc(NC2CCCC2)cc1)N1CCOCC1
17197,Z2984972270,C=C1CC(C)(C(=O)Nc2ccc3cc(Br)cnc3n2)C1
17198,Z2991702658,CS(=O)(=O)c1cnn(CC(=O)NC[C@@H]2CCCO2)c1
17199,Z2991702658,CS(=O)(=O)c1cnn(CC(=O)NC[C@H]2CCCO2)c1
17200,Z3042242645,COc1cccc(CCNC(=O)[C@@H]2C[C@@H]3OCC[C@@H]3N2)c1
17201,Z3042242645,COc1cccc(CCNC(=O)[C@H]2C[C@@H]3OCC[C@@H]3N2)c1
17202,Z3042242645,COc1cccc(CCNC(=O)[C@@H]2C[C@H]3OCC[C@@H]3N2)c1
17203,Z3042242645,COc1cccc(CCNC(=O)[C@H]2C[C@H]3OCC[C@@H]3N2)c1
17204,Z3042242645,COc1cccc(CCNC(=O)[C@@H]2C[C@@H]3OCC[C@H]3N2)c1
17205,Z3042242645,COc1cccc(CCNC(=O)[C@H]2C[C@@H]3OCC[C@H]3N2)c1
17206,Z3042242645,COc1cccc(CCNC(=O)[C@@H]2C[C@H]3OCC[C@H]3N2)c1
17207,Z3042242645,COc1cccc(CCNC(=O)[C@H]2C[C@H]3OCC[C@H]3N2)c1
17208,Z3091949190,COc1cc([C@H](C)NC(=O)c2ccc(C)nn2)ccc1S(C)(=O)=O
17209,Z3091949190,COc1cc([C@@H](C)NC(=O)c2ccc(C)nn2)ccc1S(C)(=O)=O
17210,Z3389533917,O=C(N[C@@H]1CCOCCC1(F)F)c1cc2sc(C(=O)[O-])cc2[nH]1
17211,Z3389533917,O=C(N[C@H]1CCOCCC1(F)F)c1cc2sc(C(=O)[O-])cc2[nH]1
17212,Z3415054973,CN=S1(=O)CCC2(CC1)CN(C[C@H](C)c1ccccc1)CCO2
17213,Z3415054973,CN=S1(=O)CCC2(CC1)CN(C[C@@H](C)c1ccccc1)CCO2
17214,Z3416536433,NC(=O)[C@@H]1CCS(=O)(=O)C12CN(C(=O)c1ccc(Cl)c(O)c1)C2
17215,Z3416536433,NC(=O)[C@H]1CCS(=O)(=O)C12CN(C(=O)c1ccc(Cl)c(O)c1)C2
17216,Z3628122040,C[C@@H]1C[C@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@H]12
17217,Z3628122040,C[C@H]1C[C@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@H]12
17218,Z3628122040,C[C@@H]1C[C@@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@H]12
17219,Z3628122040,C[C@H]1C[C@@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@H]12
17220,Z3628122040,C[C@@H]1C[C@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@@H]12
17221,Z3628122040,C[C@H]1C[C@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@@H]12
17222,Z3628122040,C[C@@H]1C[C@@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@@H]12
17223,Z3628122040,C[C@H]1C[C@@]2(C(=O)Nc3nn[nH]c3-c3ccnn3C)C[C@@H]12
17224,Z3766101749,CCNS(=O)(=O)c1cc(OC)ncc1NCCOC
17225,Z3686195279,O=C(N[C@@H]1C[C@H](Cn2cccn2)C[C@@H]1O)N1CCCc2ccccc21
17226,Z3686195279,O=C(N[C@H]1C[C@H](Cn2cccn2)C[C@@H]1O)N1CCCc2ccccc21
17227,Z3686195279,O=C(N[C@@H]1C[C@@H](Cn2cccn2)C[C@@H]1O)N1CCCc2ccccc21
17228,Z3686195279,O=C(N[C@H]1C[C@@H](Cn2cccn2)C[C@@H]1O)N1CCCc2ccccc21
17229,Z3686195279,O=C(N[C@@H]1C[C@H](Cn2cccn2)C[C@H]1O)N1CCCc2ccccc21
17230,Z3686195279,O=C(N[C@H]1C[C@H](Cn2cccn2)C[C@H]1O)N1CCCc2ccccc21
17231,Z3686195279,O=C(N[C@@H]1C[C@@H](Cn2cccn2)C[C@H]1O)N1CCCc2ccccc21
17232,Z3686195279,O=C(N[C@H]1C[C@@H](Cn2cccn2)C[C@H]1O)N1CCCc2ccccc21
17233,Z3686297848,O[C@@H]1C[C@H](Cn2cccn2)C[C@@H]1Nc1ccnc2ccccc12
17234,Z3686297848,O[C@H]1C[C@H](Cn2cccn2)C[C@@H]1Nc1ccnc2ccccc12
17235,Z3686297848,O[C@@H]1C[C@@H](Cn2cccn2)C[C@@H]1Nc1ccnc2ccccc12
17236,Z3686297848,O[C@H]1C[C@@H](Cn2cccn2)C[C@@H]1Nc1ccnc2ccccc12
