,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
0,Z2110198453,13477,Done,88.1,-13.1268,glide-grid_6eti,,,-13.1268,-0.630025,,,,,,,,,,,,,1.0,,,-13.1268,-55.586,-5.37964,-60.9656,1.51259,-98.0898
2,Z806429696,516,Done,85.33,-12.6629,glide-grid_6eti,,,-12.6629,0.0,,,,,,,,,,,,,1.0,,,-12.6629,-65.0392,-4.26878,-69.308,5.79071,-116.959
5,Z1024051690,9425,Done,51.39,-12.487,glide-grid_6eti,,,-12.487,-0.7,,,,,,,,,,,,,1.0,,,-12.487,-55.9362,-2.28385,-58.2201,14.3766,-94.2907
6,Z993687126,14512,Done,95.84,-12.4835,glide-grid_6eti,,,-12.4835,0.0,,,,,,,,,,,,,1.0,,,-12.4835,-50.3314,-4.5017,-54.8331,4.62997,-82.9726
7,Z1481919041,9615,Done,88.29,-12.4785,glide-grid_6eti,,,-12.4785,-1.33,,,,,,,,,,,,,1.0,,,-12.4785,-50.3548,-7.83714,-58.192,3.55289,-94.9518
8,Z1024049144,12019,Done,80.37,-12.3322,glide-grid_6eti,,,-12.3322,0.0,,,,,,,,,,,,,1.0,,,-12.3322,-64.3118,-1.58717,-65.8989,4.82124,-104.638
9,Z909179208,2689,Done,81.39,-12.1874,glide-grid_6eti,,,-12.1874,-1.20647,,,,,,,,,,,,,1.0,,,-12.1874,-53.0889,-7.1485,-60.2374,3.26214,-88.39
10,Z3396342599,6330,Done,81.06,-12.1792,glide-grid_6eti,,,-12.1792,0.0,,,,,,,,,,,,,1.0,,,-12.1792,-54.2453,-2.37945,-56.6247,5.91066,-100.423
11,Z1131324646,7261,Done,140.2,-12.0921,glide-grid_6eti,,,-12.0921,-1.33,,,,,,,,,,,,,1.0,,,-12.0921,-53.4766,-8.22953,-61.7062,10.8372,-93.737
12,Z1025736496,14012,Done,75.74,-12.0323,glide-grid_6eti,,,-12.0323,-0.678396,,,,,,,,,,,,,1.0,,,-12.0323,-55.0035,-5.14591,-60.1494,3.27959,-102.183
14,Z4401400510,4138,Done,109.24,-11.9436,glide-grid_6eti,,,-11.9436,-0.7,,,,,,,,,,,,,1.0,,,-11.9436,-53.734,-6.70784,-60.4419,9.7388,-98.8992
16,Z595378952,14123,Done,98.13,-11.9141,glide-grid_6eti,,,-11.9141,-0.7,,,,,,,,,,,,,1.0,,,-11.9141,-60.1138,-4.59483,-64.7087,8.80812,-101.766
18,Z1000940198,1799,Done,95.27,-11.822,glide-grid_6eti,,,-11.822,-0.7,,,,,,,,,,,,,1.0,,,-11.822,-54.6244,-5.3651,-59.9895,0.781825,-95.5
19,Z119313558,19451,Done,30.31,-11.7789,glide-grid_6eti,,,-11.7789,-0.7,,,,,,,,,,,,,1.0,,,-11.7789,-34.3423,-6.44715,-40.7894,6.35182,-67.7697
20,Z806431816,1790,Done,49.77,-11.7684,glide-grid_6eti,,,-11.7684,-0.630043,,,,,,,,,,,,,1.0,,,-11.7684,-51.2556,-3.49239,-54.748,4.70464,-87.4791
21,Z2116629932,5180,Done,205.64,-11.7679,glide-grid_6eti,,,-11.7679,-0.773252,,,,,,,,,,,,,1.0,,,-11.7679,-45.4787,-9.72869,-55.2074,3.42384,-86.8777
22,Z1147996353,11323,Done,45.57,-11.7604,glide-grid_6eti,,,-11.7604,0.0,,,,,,,,,,,,,1.0,,,-11.7604,-53.4929,0.0941012,-53.3988,3.89908,-84.5367
23,Z1646973092,2934,Done,78.63,-11.737,glide-grid_6eti,,,-11.737,-1.716,,,,,,,,,,,,,1.0,,,-11.737,-44.874,-7.1376,-52.0116,0.440544,-85.976
25,Z730778580,17571,Done,30.93,-11.712,glide-grid_6eti,,,-11.712,-0.610789,,,,,,,,,,,,,1.0,,,-11.712,-49.9547,-3.06341,-53.0182,2.96015,-82.3262
27,Z1390538617,14692,Done,115.54,-11.6641,glide-grid_6eti,,,-11.6641,0.0,,,,,,,,,,,,,1.0,,,-11.6641,-53.7215,-4.30107,-58.0226,4.23175,-93.6019
28,Z2298723851,20514,Done,160.67,-11.6553,glide-grid_6eti,,,-11.6553,-1.625,,,,,,,,,,,,,1.0,,,-11.6553,-47.6133,-8.29592,-55.9092,3.77728,-92.2008
29,Z1545493291,9570,Done,152.79,-11.6368,glide-grid_6eti,,,-11.6368,0.0,,,,,,,,,,,,,1.0,,,-11.6368,-55.3937,-5.06352,-60.4572,18.6715,-79.5729
30,Z2089229568,14733,Done,48.38,-11.6328,glide-grid_6eti,,,-11.6328,-0.7,,,,,,,,,,,,,1.0,,,-11.6328,-43.2626,-6.57157,-49.8342,4.54898,-80.1873
32,Z2984498385,7427,Done,58.48,-11.5004,glide-grid_6eti,,,-11.5004,-0.7,,,,,,,,,,,,,1.0,,,-11.5004,-40.8692,-2.8261,-43.6953,2.8387,-68.3984
33,Z3437366554,2917,Done,37.05,-11.4982,glide-grid_6eti,,,-11.4982,0.0,,,,,,,,,,,,,1.0,,,-11.4982,-54.293,-3.83444,-58.1275,2.41704,-88.8158
34,Z1672836099,12155,Done,101.66,-11.4895,glide-grid_6eti,,,-11.4895,-1.18,,,,,,,,,,,,,1.0,,,-11.4895,-50.8326,-5.17778,-56.0104,1.249,-88.5636
37,Z607761124,1913,Done,161.42,-11.4503,glide-grid_6eti,,,-11.4503,-0.7,,,,,,,,,,,,,1.0,,,-11.4503,-50.4239,-5.5859,-56.0098,8.44989,-87.6673
38,Z2015397811,2684,Done,61.34,-11.4405,glide-grid_6eti,,,-11.4405,-0.479361,,,,,,,,,,,,,1.0,,,-11.4405,-46.4793,-3.07087,-49.5501,7.19458,-69.9714
39,Z1603552232,1912,Done,191.68,-11.4212,glide-grid_6eti,,,-11.4212,-0.7,,,,,,,,,,,,,1.0,,,-11.4212,-53.359,-5.34384,-58.7029,4.0046,-86.5277
40,Z435422592,3247,Done,210.81,-11.4158,glide-grid_6eti,,,-11.4158,-0.995274,,,,,,,,,,,,,1.0,,,-11.4158,-53.164,-6.14255,-59.3065,5.10206,-107.833
41,Z1625156285,8437,Done,133.54,-11.3983,glide-grid_6eti,,,-11.3983,-1.44,,,,,,,,,,,,,1.0,,,-11.3983,-53.9682,-4.93617,-58.9043,13.5977,-90.7888
42,Z1838664892,6764,Done,168.26,-11.348,glide-grid_6eti,,,-11.348,-0.7,,,,,,,,,,,,,1.0,,,-11.348,-46.7863,-4.75066,-51.537,1.00986,-80.4186
43,Z2227911950,3991,Done,99.87,-11.3452,glide-grid_6eti,,,-11.3452,-0.307829,,,,,,,,,,,,,1.0,,,-11.3452,-50.9881,-3.75816,-54.7462,4.12106,-88.4526
44,Z1583835705,17237,Done,53.9,-11.3184,glide-grid_6eti,,,-11.3184,0.0,,,,,,,,,,,,,1.0,,,-11.3184,-40.2897,-4.26438,-44.5541,5.99345,-41.7076
46,Z1116849248,14260,Done,119.3,-11.2984,glide-grid_6eti,,,-11.2984,0.0,,,,,,,,,,,,,1.0,,,-11.2984,-44.0693,-3.2336,-47.3029,6.50116,-73.962
47,Z2456499677,5571,Done,37.66,-11.2869,glide-grid_6eti,,,-11.2869,-0.275385,,,,,,,,,,,,,1.0,,,-11.2869,-37.9389,-5.37623,-43.3151,2.02699,-62.5234
48,Z999566940,5162,Done,65.85,-11.2821,glide-grid_6eti,,,-11.2821,0.0,,,,,,,,,,,,,1.0,,,-11.2821,-59.8952,-3.0028,-62.898,8.64679,-105.709
49,Z1983513112,1678,Done,86.87,-11.2723,glide-grid_6eti,,,-11.2723,0.0,,,,,,,,,,,,,1.0,,,-11.2723,-45.0142,-1.30318,-46.3174,10.9958,-75.0422
50,Z1437153801,10455,Done,72.21,-11.2648,glide-grid_6eti,,,-11.2648,-0.0709389,,,,,,,,,,,,,1.0,,,-11.2648,-52.5975,-1.92358,-54.5211,3.03031,-87.246
51,Z1626582717,1484,Done,94.4,-11.2497,glide-grid_6eti,,,-11.2497,0.0,,,,,,,,,,,,,1.0,,,-11.2497,-45.1263,-5.26903,-50.3954,5.6462,-72.2872
52,Z1127829358,10841,Done,70.17,-11.2464,glide-grid_6eti,,,-11.2464,0.0,,,,,,,,,,,,,1.0,,,-11.2464,-50.7948,-3.79624,-54.5911,4.43483,-83.3995
54,Z1531324664,7121,Done,141.9,-11.2327,glide-grid_6eti,,,-11.2327,-0.96,,,,,,,,,,,,,1.0,,,-11.2327,-45.551,-8.33707,-53.8881,8.73665,-82.2337
56,Z3346117182,17648,Done,80.59,-11.222,glide-grid_6eti,,,-11.222,-1.56974,,,,,,,,,,,,,1.0,,,-11.222,-38.5862,-3.7031,-42.2893,3.41743,-64.1993
57,Z2068105275,16897,Done,42.91,-11.2179,glide-grid_6eti,,,-11.2179,0.0,,,,,,,,,,,,,1.0,,,-11.2179,-44.8444,-3.38204,-48.2264,4.18819,-66.1991
58,Z2090537081,6047,Done,197.36,-11.2151,glide-grid_6eti,,,-11.2151,-1.18,,,,,,,,,,,,,1.0,,,-11.2151,-53.1903,-4.62176,-57.812,2.7096,-89.5174
59,Z728655276,11385,Done,105.69,-11.208,glide-grid_6eti,,,-11.208,-0.7,,,,,,,,,,,,,1.0,,,-11.208,-57.3086,-3.95177,-61.2604,2.20658,-105.949
61,Z4081386277,14590,Done,108.06,-11.2021,glide-grid_6eti,,,-11.2021,0.0,,,,,,,,,,,,,1.0,,,-11.2021,-41.4941,-4.72634,-46.2204,7.26819,-64.9886
62,Z4262359633,5609,Done,82.17,-11.1936,glide-grid_6eti,,,-11.1936,-0.220833,,,,,,,,,,,,,1.0,,,-11.1936,-50.6321,-2.69952,-53.3316,2.1241,-84.7847
64,Z2915349630,19671,Done,175.08,-11.1783,glide-grid_6eti,,,-11.1783,-0.7,,,,,,,,,,,,,1.0,,,-11.1783,-39.6684,-7.39438,-47.0628,3.62962,-73.2657
67,Z367837298,7878,Done,110.92,-11.1572,glide-grid_6eti,,,-11.1572,-0.597844,,,,,,,,,,,,,1.0,,,-11.1572,-52.9599,-4.12485,-57.0847,3.91534,-97.3245
68,Z1656849812,11524,Done,100.95,-11.1544,glide-grid_6eti,,,-11.1544,-0.623367,,,,,,,,,,,,,1.0,,,-11.1544,-54.0482,-5.14068,-59.1889,1.98361,-99.7113
69,Z1145755683,5891,Done,45.11,-11.1425,glide-grid_6eti,,,-11.1425,-0.7,,,,,,,,,,,,,1.0,,,-11.1425,-39.9466,-6.77135,-46.718,1.5511,-71.4225
70,Z1609559474,19345,Done,63.75,-11.1258,glide-grid_6eti,,,-11.1258,-0.256302,,,,,,,,,,,,,1.0,,,-11.1258,-44.3165,-3.40248,-47.719,2.08969,-67.6087
72,Z887142122,11161,Done,68.2,-11.1157,glide-grid_6eti,,,-11.1157,-0.0898479,,,,,,,,,,,,,1.0,,,-11.1157,-49.8866,-5.68112,-55.5677,2.61559,-84.1074
75,Z1522500479,10716,Done,86.93,-11.1015,glide-grid_6eti,,,-11.1015,0.0,,,,,,,,,,,,,1.0,,,-11.1015,-48.592,-3.23657,-51.8286,4.03523,-80.6018
76,Z1020941934,16729,Done,71.18,-11.094,glide-grid_6eti,,,-11.094,0.0,,,,,,,,,,,,,1.0,,,-11.094,-60.5009,-0.407465,-60.9084,14.9828,-80.5055
78,Z1085671552,16649,Done,129.45,-11.0609,glide-grid_6eti,,,-11.0609,-0.656645,,,,,,,,,,,,,1.0,,,-11.0609,-42.7302,-7.94822,-50.6784,8.88766,-73.0773
80,Z1479532400,1917,Done,78.46,-11.0411,glide-grid_6eti,,,-11.0411,-0.7,,,,,,,,,,,,,1.0,,,-11.0411,-60.9079,-4.50192,-65.4098,20.9843,-98.5772
83,Z446936460,8938,Done,97.9,-11.0161,glide-grid_6eti,,,-11.0161,0.0,,,,,,,,,,,,,1.0,,,-11.0161,-51.2295,-4.34108,-55.5705,0.0,-85.7434
86,Z1643938811,16406,Done,86.93,-11.0029,glide-grid_6eti,,,-11.0029,0.0,,,,,,,,,,,,,1.0,,,-11.0029,-53.3781,-2.61573,-55.9938,2.38167,-92.8012
87,Z1147314593,7071,Done,40.82,-10.9909,glide-grid_6eti,,,-10.9909,0.0,,,,,,,,,,,,,1.0,,,-10.9909,-39.6162,-6.43523,-46.0514,1.28109,-68.7102
89,Z1493752655,18584,Done,69.03,-10.9825,glide-grid_6eti,,,-10.9825,-1.31017,,,,,,,,,,,,,1.0,,,-10.9825,-39.1101,-6.38303,-45.4932,3.59707,-68.2327
90,Z1426920248,7082,Done,101.8,-10.9817,glide-grid_6eti,,,-10.9817,-0.7,,,,,,,,,,,,,1.0,,,-10.9817,-42.4408,-9.07716,-51.518,4.16991,-73.6227
92,Z2013389186,8367,Done,69.16,-10.9713,glide-grid_6eti,,,-10.9713,-1.24752,,,,,,,,,,,,,1.0,,,-10.9713,-40.8883,-7.35998,-48.2483,9.24825,-66.4358
93,Z808830304,1846,Done,60.67,-10.9658,glide-grid_6eti,,,-10.9658,-0.485013,,,,,,,,,,,,,1.0,,,-10.9658,-56.9846,-4.14383,-61.1284,8.00793,-86.7085
94,Z1179672497,5908,Done,44.39,-10.9656,glide-grid_6eti,,,-10.9656,-0.608554,,,,,,,,,,,,,1.0,,,-10.9656,-53.3918,-0.722308,-54.1141,3.51005,-85.4152
95,Z1303089142,16240,Done,108.83,-10.9647,glide-grid_6eti,,,-10.9647,0.0,,,,,,,,,,,,,1.0,,,-10.9647,-43.7626,-2.97992,-46.7426,2.21306,-76.8768
96,Z1818217592,10452,Done,71.07,-10.963,glide-grid_6eti,,,-10.963,0.0,,,,,,,,,,,,,1.0,,,-10.963,-44.8122,-3.48,-48.2922,4.59036,-75.0509
99,Z1207789901,2112,Done,98.39,-10.9524,glide-grid_6eti,,,-10.9524,0.0,,,,,,,,,,,,,1.0,,,-10.9524,-50.909,-1.42352,-52.3326,9.60892,-67.096
102,Z914353422,5971,Done,129.04,-10.9386,glide-grid_6eti,,,-10.9386,-1.13679,,,,,,,,,,,,,1.0,,,-10.9386,-45.3372,-6.62351,-51.9607,5.31595,-84.1999
103,Z2094321917,2852,Done,45.13,-10.9348,glide-grid_6eti,,,-10.9348,0.0,,,,,,,,,,,,,1.0,,,-10.9348,-44.4964,-3.24451,-47.741,3.50536,-70.8274
104,Z1531388847,7698,Done,74.55,-10.9235,glide-grid_6eti,,,-10.9235,-0.7,,,,,,,,,,,,,1.0,,,-10.9235,-38.3622,-1.56764,-39.9298,2.49388,-55.7237
105,Z928196876,12855,Done,95.32,-10.9225,glide-grid_6eti,,,-10.9225,-0.654391,,,,,,,,,,,,,1.0,,,-10.9225,-60.759,-6.48868,-67.2477,6.35323,-114.512
106,Z1527420849,2412,Done,89.99,-10.9221,glide-grid_6eti,,,-10.9221,0.0,,,,,,,,,,,,,1.0,,,-10.9221,-48.7568,-6.43903,-55.1958,5.31351,-83.2064
107,Z1636461184,10879,Done,42.63,-10.9128,glide-grid_6eti,,,-10.9128,0.0,,,,,,,,,,,,,1.0,,,-10.9128,-54.5561,-3.42417,-57.9803,8.5821,-96.098
108,Z3442883332,1762,Done,34.46,-10.9,glide-grid_6eti,,,-10.9,-0.7,,,,,,,,,,,,,1.0,,,-10.9,-45.6645,-3.62737,-49.2919,4.4445,-74.3546
109,Z2119335111,2111,Done,94.02,-10.8949,glide-grid_6eti,,,-10.8949,0.0,,,,,,,,,,,,,1.0,,,-10.8949,-49.6099,-0.9048,-50.5147,2.28445,-57.0559
111,Z1685092290,12117,Done,31.91,-10.892,glide-grid_6eti,,,-10.892,-0.699422,,,,,,,,,,,,,1.0,,,-10.892,-43.301,-3.67202,-46.973,8.06095,-69.1611
114,Z1082774768,18568,Done,48.75,-10.8847,glide-grid_6eti,,,-10.8847,0.0,,,,,,,,,,,,,1.0,,,-10.8847,-49.2642,-6.98545,-56.2496,5.50754,-84.3149
115,Z1978281122,1373,Done,74.74,-10.8836,glide-grid_6eti,,,-10.8836,-0.7,,,,,,,,,,,,,1.0,,,-10.8836,-45.4516,-4.72572,-50.1773,1.91733,-81.6991
119,Z2231968645,12101,Done,83.03,-10.8646,glide-grid_6eti,,,-10.8646,0.0,,,,,,,,,,,,,1.0,,,-10.8646,-41.6931,-5.19676,-46.8898,3.03447,-71.3718
120,Z2191526636,3926,Done,95.69,-10.8641,glide-grid_6eti,,,-10.8641,-0.687567,,,,,,,,,,,,,1.0,,,-10.8641,-48.6728,-5.88316,-54.556,10.4197,-80.5451
121,Z1727366661,20139,Done,108.41,-10.8618,glide-grid_6eti,,,-10.8618,-0.947237,,,,,,,,,,,,,1.0,,,-10.8618,-42.8113,-3.54569,-46.357,5.86152,-67.6866
122,Z1521648039,4428,Done,27.7,-10.8571,glide-grid_6eti,,,-10.8571,-0.580872,,,,,,,,,,,,,1.0,,,-10.8571,-41.617,-4.06513,-45.6822,9.00134,-56.3158
123,Z2090184902,3880,Done,70.56,-10.8564,glide-grid_6eti,,,-10.8564,-0.857273,,,,,,,,,,,,,1.0,,,-10.8564,-37.8488,-7.08164,-44.9304,10.0269,-67.2605
125,Z2227821558,11491,Done,108.95,-10.8481,glide-grid_6eti,,,-10.8481,-0.0766274,,,,,,,,,,,,,1.0,,,-10.8481,-52.1641,-2.21683,-54.3809,6.30422,-86.2504
126,Z728659410,11278,Done,90.96,-10.8468,glide-grid_6eti,,,-10.8468,-0.96,,,,,,,,,,,,,1.0,,,-10.8468,-42.7593,-7.06185,-49.8211,0.747095,-75.9461
127,Z1147977673,8200,Done,73.64,-10.8458,glide-grid_6eti,,,-10.8458,0.0,,,,,,,,,,,,,1.0,,,-10.8458,-49.7507,-2.06051,-51.8112,1.23874,-82.7845
128,Z806266460,11272,Done,59.13,-10.843,glide-grid_6eti,,,-10.843,-0.7,,,,,,,,,,,,,1.0,,,-10.843,-52.1325,-5.32975,-57.4623,1.53741,-93.6182
129,Z729355916,9626,Done,51.99,-10.8287,glide-grid_6eti,,,-10.8287,-1.09346,,,,,,,,,,,,,1.0,,,-10.8287,-37.6169,-6.18875,-43.8056,8.28247,-63.7521
131,Z1684581074,7834,Done,61.52,-10.8205,glide-grid_6eti,,,-10.8205,-0.694958,,,,,,,,,,,,,1.0,,,-10.8205,-49.3461,-2.79725,-52.1434,3.30528,-79.1635
133,Z245192982,12828,Done,37.72,-10.8185,glide-grid_6eti,,,-10.8185,-0.529503,,,,,,,,,,,,,1.0,,,-10.8185,-35.911,-5.45972,-41.3707,8.28875,-61.8459
134,Z1424452381,12686,Done,70.08,-10.8136,glide-grid_6eti,,,-10.8136,-1.33,,,,,,,,,,,,,1.0,,,-10.8136,-41.5723,-8.84282,-50.4151,0.33939,-78.3004
135,Z1498761331,18514,Done,96.6,-10.8114,glide-grid_6eti,,,-10.8114,-0.476237,,,,,,,,,,,,,1.0,,,-10.8114,-50.5009,-5.02197,-55.5229,0.594745,-93.2349
137,Z2004654495,4418,Done,75.38,-10.8072,glide-grid_6eti,,,-10.8072,-0.55004,,,,,,,,,,,,,1.0,,,-10.8072,-48.8232,-2.84028,-51.6635,2.83951,-83.3803
138,Z1005373744,6895,Done,107.5,-10.8044,glide-grid_6eti,,,-10.8044,0.0,,,,,,,,,,,,,1.0,,,-10.8044,-52.6898,-4.08945,-56.7792,8.22339,-93.9855
139,Z3686076378,1027,Done,131.73,-10.7957,glide-grid_6eti,,,-10.7957,-1.81,,,,,,,,,,,,,1.0,,,-10.7957,-41.3038,-8.17534,-49.4792,0.0,-82.2572
140,Z1497987409,8211,Done,74.97,-10.7919,glide-grid_6eti,,,-10.7919,-0.7,,,,,,,,,,,,,1.0,,,-10.7919,-44.5496,-2.42882,-46.9784,2.19022,-72.9655
142,Z509405782,17160,Done,43.42,-10.7857,glide-grid_6eti,,,-10.7857,0.0,,,,,,,,,,,,,1.0,,,-10.7857,-50.072,-2.03395,-52.1059,3.14291,-80.3305
143,Z2015413125,6383,Done,65.46,-10.7851,glide-grid_6eti,,,-10.7851,-0.144084,,,,,,,,,,,,,1.0,,,-10.7851,-47.6699,-4.00998,-51.6799,4.97087,-78.0289
145,Z558621020,15197,Done,123.45,-10.7807,glide-grid_6eti,,,-10.7807,-0.7,,,,,,,,,,,,,1.0,,,-10.7807,-49.0994,-5.36688,-54.4662,2.87556,-78.3858
146,Z363642886,549,Done,86.85,-10.7806,glide-grid_6eti,,,-10.7806,-0.0833435,,,,,,,,,,,,,1.0,,,-10.7806,-48.5272,-5.21592,-53.7431,4.14197,-86.6622
147,Z737131670,14177,Done,86.78,-10.7785,glide-grid_6eti,,,-10.7785,0.0,,,,,,,,,,,,,1.0,,,-10.7785,-57.587,-3.11567,-60.7027,3.10758,-98.0195
149,Z1764865366,15800,Done,141.56,-10.77,glide-grid_6eti,,,-10.77,-1.33,,,,,,,,,,,,,1.0,,,-10.77,-38.9936,-6.64891,-45.6425,11.4626,-66.4431
150,Z1132550717,19320,Done,109.15,-10.766,glide-grid_6eti,,,-10.766,-0.351746,,,,,,,,,,,,,1.0,,,-10.766,-60.4158,-1.47546,-61.8912,2.66608,-105.536
151,Z1187928427,3312,Done,106.2,-10.7654,glide-grid_6eti,,,-10.7654,-1.27004,,,,,,,,,,,,,1.0,,,-10.7654,-46.0942,-5.22691,-51.3211,3.93255,-81.8301
153,Z2041176362,1282,Done,73.64,-10.7603,glide-grid_6eti,,,-10.7603,0.0,,,,,,,,,,,,,1.0,,,-10.7603,-46.5496,-4.91626,-51.4658,2.86537,-89.2336
154,Z1537575754,7799,Done,113.56,-10.7572,glide-grid_6eti,,,-10.7572,0.0,,,,,,,,,,,,,1.0,,,-10.7572,-53.1402,-4.44605,-57.5863,4.10584,-93.209
156,Z1169850955,12995,Done,58.46,-10.753,glide-grid_6eti,,,-10.753,0.0,,,,,,,,,,,,,1.0,,,-10.753,-43.8988,-1.4882,-45.387,2.17406,-70.2795
157,Z1675111755,6893,Done,106.86,-10.7494,glide-grid_6eti,,,-10.7494,0.0,,,,,,,,,,,,,1.0,,,-10.7494,-56.2043,-2.26136,-58.4656,5.53959,-89.5378
158,Z1250346367,1401,Done,70.55,-10.7464,glide-grid_6eti,,,-10.7464,-0.7,,,,,,,,,,,,,1.0,,,-10.7464,-46.8019,-5.00315,-51.8051,8.72229,-78.2407
159,Z2994024436,12666,Done,174.07,-10.7444,glide-grid_6eti,,,-10.7444,0.0,,,,,,,,,,,,,1.0,,,-10.7444,-48.6122,-5.87843,-54.4906,3.87419,-82.1657
160,Z2143891257,5432,Done,87.28,-10.7421,glide-grid_6eti,,,-10.7421,0.0,,,,,,,,,,,,,1.0,,,-10.7421,-54.9016,0.171749,-54.7299,4.87969,-73.9445
161,Z2956088287,5504,Done,68.8,-10.7406,glide-grid_6eti,,,-10.7406,-0.0237689,,,,,,,,,,,,,1.0,,,-10.7406,-46.0051,-4.53188,-50.5369,3.68082,-74.0228
162,Z3686939621,19111,Done,93.64,-10.74,glide-grid_6eti,,,-10.74,-0.7,,,,,,,,,,,,,1.0,,,-10.74,-50.7802,-5.30651,-56.0867,8.21015,-80.4773
163,Z855052610,5887,Done,145.96,-10.7397,glide-grid_6eti,,,-10.7397,-0.699942,,,,,,,,,,,,,1.0,,,-10.7397,-43.8823,-4.47595,-48.3583,4.9268,-82.1286
164,Z1497860092,14088,Done,55.63,-10.7359,glide-grid_6eti,,,-10.7359,-0.7,,,,,,,,,,,,,1.0,,,-10.7359,-40.3519,-3.13608,-43.488,2.04383,-66.4826
165,Z1944141999,16978,Done,55.76,-10.7325,glide-grid_6eti,,,-10.7325,-0.7,,,,,,,,,,,,,1.0,,,-10.7325,-47.1509,-1.60539,-48.7563,4.38264,-77.8094
166,Z3050573067,475,Done,99.36,-10.7319,glide-grid_6eti,,,-10.7319,-0.48,,,,,,,,,,,,,1.0,,,-10.7319,-41.0479,-4.77199,-45.8199,5.79129,-74.1232
167,Z2215963175,2246,Done,82.17,-10.7308,glide-grid_6eti,,,-10.7308,-0.7,,,,,,,,,,,,,1.0,,,-10.7308,-45.1052,-1.76284,-46.868,2.88856,-73.8812
168,Z1500091775,6287,Done,115.4,-10.7282,glide-grid_6eti,,,-10.7282,0.0,,,,,,,,,,,,,1.0,,,-10.7282,-44.3144,-5.10884,-49.4233,8.77793,-73.9046
170,Z1477436538,10248,Done,52.15,-10.7218,glide-grid_6eti,,,-10.7218,-0.513238,,,,,,,,,,,,,1.0,,,-10.7218,-45.3414,-1.88879,-47.2302,2.98055,-75.0762
172,Z806525622,1788,Done,133.17,-10.7168,glide-grid_6eti,,,-10.7168,-0.7,,,,,,,,,,,,,1.0,,,-10.7168,-49.8119,-4.42544,-54.2373,4.99868,-84.2206
173,Z1507437198,15436,Done,55.98,-10.7128,glide-grid_6eti,,,-10.7128,-1.04663,,,,,,,,,,,,,1.0,,,-10.7128,-41.7554,-5.51792,-47.2734,1.35221,-67.4122
174,Z1499018470,9499,Done,61.39,-10.7123,glide-grid_6eti,,,-10.7123,-0.7,,,,,,,,,,,,,1.0,,,-10.7123,-48.9195,-2.53141,-51.4509,3.23615,-78.5603
176,Z367035116,17891,Done,96.37,-10.7102,glide-grid_6eti,,,-10.7102,0.0,,,,,,,,,,,,,1.0,,,-10.7102,-58.292,-2.95969,-61.2517,2.96484,-99.5227
177,Z2109795201,5942,Done,38.04,-10.7092,glide-grid_6eti,,,-10.7092,-0.7,,,,,,,,,,,,,1.0,,,-10.7092,-44.8688,-5.71636,-50.5852,5.74032,-72.2059
178,Z1610887378,161,Done,83.79,-10.7089,glide-grid_6eti,,,-10.7089,-0.7,,,,,,,,,,,,,1.0,,,-10.7089,-37.5871,-3.50683,-41.0939,4.64311,-61.4776
179,Z649125804,19297,Done,60.54,-10.7058,glide-grid_6eti,,,-10.7058,-0.7,,,,,,,,,,,,,1.0,,,-10.7058,-51.1195,-6.02374,-57.1433,3.19839,-95.8291
180,Z1529386613,19213,Done,144.89,-10.705,glide-grid_6eti,,,-10.705,-0.7,,,,,,,,,,,,,1.0,,,-10.705,-41.7636,-6.5475,-48.3111,9.96235,-72.1635
181,Z1500083729,8336,Done,161.94,-10.7044,glide-grid_6eti,,,-10.7044,-0.546352,,,,,,,,,,,,,1.0,,,-10.7044,-43.3167,-1.84411,-45.1608,2.66074,-68.6749
182,Z2440195693,6073,Done,84.74,-10.7038,glide-grid_6eti,,,-10.7038,0.0,,,,,,,,,,,,,1.0,,,-10.7038,-37.2478,-4.52254,-41.7704,5.83151,-63.4434
183,Z3686991625,3607,Done,138.26,-10.7021,glide-grid_6eti,,,-10.7021,-0.7,,,,,,,,,,,,,1.0,,,-10.7021,-51.74,-4.89023,-56.6302,6.67308,-81.7804
184,Z1612525453,13454,Done,24.43,-10.6877,glide-grid_6eti,,,-10.6877,-0.442484,,,,,,,,,,,,,1.0,,,-10.6877,-37.2304,-4.4665,-41.6969,2.73648,-60.0194
185,Z1069648818,12055,Done,60.1,-10.6733,glide-grid_6eti,,,-10.6733,0.0,,,,,,,,,,,,,1.0,,,-10.6733,-48.5994,-0.693076,-49.2925,9.26668,-67.2734
187,Z1001578946,14105,Done,83.23,-10.6682,glide-grid_6eti,,,-10.6682,0.0,,,,,,,,,,,,,1.0,,,-10.6682,-47.3961,-6.19376,-53.5899,15.1491,-77.7521
