replicate,rank,top-100,top-50,R2_k-100,R2_k-50
3,33,0.14,0.12,0.1191298650901248,0.10447143961537053
3,34,0.16,0.14,0.10050326441116952,0.053693512086172235
3,35,0.15,0.16,0.17069118729142396,-0.026791978130374927
3,36,0.16,0.16,0.07640063241032302,-0.32601588744760823
3,37,0.14,0.14,0.1199947985797909,-0.22564906140851582
3,38,0.15,0.16,0.04278677660091679,-0.09969447001105558
3,39,0.14,0.14,0.20896264715649748,-0.24585121874832305
3,40,0.15,0.16,-0.037659281559406566,-0.24270255264451546
3,41,0.15,0.16,-0.02289990676945375,-0.18065083562315332
3,42,0.15,0.16,0.10761448044353694,0.039477208652098694
3,43,0.17,0.14,0.0124147062870138,-0.10018634685408334
3,44,0.15,0.16,0.09345886420867022,-0.03763730317090008
3,45,0.14,0.14,0.12874003832596792,-0.42775767880934823
3,46,0.17,0.18,0.06776666079831717,-0.22939933027664372
3,47,0.17,0.16,0.060694566803573546,-0.38826114719985716
3,48,0.17,0.18,0.10902787520791479,-0.34259981029695097
3,49,0.17,0.18,0.13633747585203593,-0.22586919237894443
3,50,0.19,0.18,-0.016794181595316093,-0.37631140127458496
3,51,0.17,0.18,0.13829485738685499,-0.6528010039255032
3,52,0.19,0.18,-0.0940644180656165,-0.016108616352074057
3,53,0.19,0.16,-0.16193676343908936,0.04652989457125467
3,54,0.16,0.14,-0.07375701080799968,-0.36755740677353943
3,55,0.17,0.14,0.03480595478350634,0.036301204123506126
3,56,0.19,0.18,0.026486456274224413,-0.21323928778154033
3,57,0.19,0.18,0.04831486338757207,0.10094272622354394
3,58,0.2,0.2,-0.12807037263117538,-0.18873505202201568
3,59,0.2,0.18,0.028745004190498746,-0.06996242747633175
3,60,0.19,0.18,-0.016946251274368995,-0.33169416724022005
4,1,0.03,0.04,0.05158462735912761,0.05141142802652787
4,2,0.04,0.04,0.026928743454847637,-0.13434045519320903
4,3,0.06,0.06,0.06947365813436601,0.030504099340497137
4,4,0.06,0.06,-0.027194594776813075,-0.11110695985485664
4,5,0.06,0.06,-0.1583116472730839,-0.18138752835207317
4,6,0.05,0.04,-0.11872798773917537,-0.25745053776274984
4,7,0.08,0.06,0.011400845000968718,0.02245752871320239
4,8,0.07,0.08,-0.1311597896220047,-0.8306962153492441
4,9,0.1,0.08,-0.14335167672266524,-0.28352935385503497
4,10,0.09,0.04,-0.08522751839212384,0.003157481987114741
4,11,0.07,0.06,-0.2884271566768699,-0.8430736866943138
4,12,0.05,0.04,-0.2425718891862989,-0.9804531560434746
4,13,0.05,0.04,-0.07591899601707452,0.13839908442833104
4,14,0.08,0.06,-0.06908834895094507,-0.3732637553621765
4,15,0.07,0.06,0.055713858770433444,0.12539282643348282
4,16,0.08,0.06,0.05575380182723877,0.007563933020101055
4,17,0.08,0.04,-0.11097897121311084,-0.178914888168352
4,18,0.07,0.06,0.07362913630223877,-0.3926842188412383
4,19,0.06,0.04,-0.09423651115831921,-0.2104618993050711
4,20,0.05,0.06,-0.07508837267459545,-0.2726683357985009
4,21,0.06,0.04,0.12512614437006953,0.10805801189647812
4,22,0.09,0.04,0.10831601788409473,0.10758105254807404
4,23,0.09,0.04,-0.07576005557238052,-0.04939851279079255
4,24,0.07,0.04,-0.016936139393390448,0.06244514920231958
4,25,0.06,0.04,-0.05814403062071105,-0.16639492704536085
4,26,0.08,0.06,0.058296244084361515,0.14970969929802558
4,27,0.1,0.08,-0.051220352651743184,-0.09715480278251598
4,28,0.09,0.08,0.06942931667059726,-0.24445081134842161
4,29,0.13,0.08,-0.048010517874888414,0.09432979281292242
4,30,0.09,0.06,0.026206880914816155,-0.275915679046737
4,31,0.12,0.1,0.09171160755732011,0.2325310270372798
4,32,0.1,0.1,0.04653107110868315,0.12290787638388934
4,33,0.14,0.1,0.06268611097200893,-0.0001378143018304634
4,34,0.14,0.08,0.05090941362030954,0.1470382791531435
4,35,0.15,0.08,0.04389119899813487,-0.1383657482581293
4,36,0.12,0.1,0.0868530159886316,-0.047471933302741576
4,37,0.14,0.1,-0.10483186675570666,-0.11784107894381202
4,38,0.12,0.1,-0.08139440548334242,-0.8586460180132705
4,39,0.15,0.08,-0.053082456242416365,-0.24512859733396986
4,40,0.12,0.1,-0.02408567523961236,-0.6930237545874365
4,41,0.13,0.1,0.09208550607153643,0.09256177259711995
4,42,0.14,0.12,-0.04280396132961184,0.08004651139205776
4,43,0.15,0.12,0.0043503847376320515,-0.8403385923281239
4,44,0.14,0.1,-0.231094944073295,-0.017299335149465467
4,45,0.13,0.12,0.06872629447413636,-0.1531528070777064
4,46,0.15,0.1,-0.07621410651786364,-0.03745033530402342
4,47,0.15,0.1,-0.1767546777170257,-0.10191387693011067
4,48,0.15,0.12,-0.09825604339271776,-0.6952701318324175
4,49,0.14,0.1,-0.15427878401881068,-0.6365464873367941
4,50,0.14,0.1,-0.04695557738262601,-0.06625377054747572
4,51,0.14,0.12,-0.3591596654097369,-0.4906244260106243
4,52,0.12,0.1,-0.49605891586546624,-0.7216102676709615
4,53,0.13,0.12,-0.13297557847745556,-0.6106620290923528
4,54,0.14,0.1,-0.14588550875403294,-0.17393120597940293
4,55,0.12,0.1,0.03517411367413115,-0.8339334342248961
4,56,0.15,0.14,-0.24810766087426606,-0.4304204759039276
4,57,0.14,0.14,-0.3097283016368333,-0.14922888801495793
4,58,0.18,0.2,-0.0965623834493794,-0.8013322155737439
4,59,0.17,0.16,-0.007784300946107603,-0.37716990297969044
4,60,0.17,0.2,-0.2795122083497301,-0.9311376278205088
5,1,0.02,0.02,-0.0031002090768639246,-0.013345437978968144
5,2,0.02,0.02,0.07540483217251825,0.08510308138975409
5,3,0.07,0.06,0.052527532622669515,-0.18149042625141343
5,4,0.08,0.08,-0.017016753245920002,-0.11904758918364844
5,5,0.07,0.06,0.05217902947107078,-0.1801792497787218
5,6,0.09,0.02,-0.2735320152164977,-0.16123793844848344
5,7,0.03,0.0,-0.007745835303293536,-0.1084079995056626
5,8,0.08,0.08,-0.026005839732704317,-0.19843277212106347
5,9,0.07,0.02,-0.06062612251397481,0.010414701554393724
5,10,0.11,0.08,-0.1872481276190967,-0.17679276086357
5,11,0.13,0.12,-0.06316577745184726,-0.1698022595030797
5,12,0.12,0.1,-0.14810152657450115,-0.42142125171639644
5,13,0.06,0.06,0.09140749242537494,0.0633716675986985
5,14,0.08,0.08,-0.03453969573968152,0.015994078610075735
5,15,0.11,0.06,-0.10921123162812996,-0.05768181520646132
5,16,0.08,0.1,-0.0007349674213830149,0.013423975065903204
5,17,0.1,0.08,-0.0031672877808277544,-0.02124336484637701
5,18,0.12,0.12,0.041587947339377096,-0.15524757988809035
5,19,0.09,0.1,0.12273569651313199,-0.033754138402000367
5,20,0.08,0.08,0.12141445415952967,0.07327048987256035
5,21,0.1,0.08,0.0062567371492204815,-0.028864637410769278
5,22,0.07,0.08,0.1168785762232386,0.0790919966082716
5,23,0.13,0.1,0.10126853252579804,0.05081870287138179
5,24,0.1,0.08,0.11131391006726787,0.05234552995439634
5,25,0.09,0.06,0.11506948631726766,0.11354168765137096
5,26,0.09,0.04,0.09663644661194892,0.1470958034929296
5,27,0.12,0.08,-0.00012142850047580644,-0.3027113262769725
5,28,0.09,0.06,0.06805783505819452,-0.1381071052593248
5,29,0.08,0.08,0.16988771075281006,-0.09820645435104236
5,30,0.1,0.08,0.1297246004906225,-0.057767813473481144
5,31,0.1,0.08,-0.13741300251985922,-0.19513391668921964
5,32,0.11,0.1,0.07563154920059045,-0.20822820968196187
5,33,0.1,0.08,0.07439444026830944,-0.3508975399288832
5,34,0.1,0.08,0.15310481697453204,-0.16512513519718097
5,35,0.11,0.08,0.06282816756681164,-0.002935537484921369
5,36,0.1,0.1,0.11648669390314403,-0.2699177854247439
5,37,0.12,0.1,0.07802471379874065,-0.2542104208618041
5,38,0.11,0.1,-0.055179550142939515,-0.29021268085513663
5,39,0.13,0.12,0.08111254922534605,-0.19125562100257576
5,40,0.1,0.12,0.12956512431202405,-0.12015368530328008
5,41,0.11,0.12,0.16820791423959458,-0.03673562968970323
5,42,0.12,0.12,-0.034114784067341475,-0.16953431052349566
5,43,0.12,0.14,0.030956959167406817,-0.19960826917023078
5,44,0.12,0.12,0.12198943256227157,-0.2036050623894472
5,45,0.11,0.12,0.0084728037407108,-0.1174299297741015
5,46,0.12,0.14,0.11198507059873575,0.0002592478565804912
5,47,0.12,0.14,0.11951137082613483,-0.17127125081330075
5,48,0.13,0.14,0.1463107783255042,-0.1613573110860269
5,49,0.11,0.14,0.1564447043500996,0.07003581648470181
5,50,0.13,0.14,-0.01807108348977904,-0.12605706515854154
5,51,0.11,0.14,0.05303917843532979,0.004750293990881227
5,52,0.14,0.16,0.04616347967826284,0.08445853051782748
5,53,0.12,0.16,-0.0029912268959411126,-0.040026346231734955
5,54,0.13,0.16,0.0026274707818674248,-0.07550029132635161
5,55,0.15,0.16,0.05375834528062173,0.08981250151203668
5,56,0.14,0.18,-0.06218399198917757,-0.1108686719643257
5,57,0.16,0.16,-0.019532714160872988,0.016059797297022338
5,58,0.14,0.18,0.053969437809512466,-0.07500295118300726
5,59,0.15,0.18,-0.044878480350633465,0.024116255776487572
5,60,0.12,0.18,0.0038353185942504586,-0.22744921716212207
