replicate,rank,top-100 model,top-100 acquired
1,0,0.06,0.02
1,1,0.13,0.04
1,2,0.2,0.06
1,3,0.09,0.09
1,4,0.22,0.09
1,5,0.31,0.15
2,0,0.19,0.02
2,1,0.19,0.06
2,2,0.23,0.11
2,3,0.24,0.15
2,4,0.26,0.2
2,5,0.31,0.23
3,0,0.07,0.0
3,1,0.01,0.01
3,2,0.05,0.01
3,3,0.1,0.03
3,4,0.12,0.05
3,5,0.16,0.07
4,0,0.24,0.0
4,1,0.1,0.06
4,2,0.09,0.06
4,3,0.26,0.07
4,4,0.27,0.13
4,5,0.28,0.2
5,0,0.15,0.03
5,1,0.13,0.07
5,2,0.2,0.11
5,3,0.24,0.12
5,4,0.25,0.17
5,5,0.27,0.19
