replicate,rank,top-100 model,top-100 acquired
1,0,0.07,0.02
1,1,0.08,0.04
1,2,0.07,0.05
1,3,0.12,0.05
1,4,0.09,0.06
1,5,0.07,0.06
2,0,0.05,0.02
2,1,0.04,0.03
2,2,0.05,0.03
2,3,0.08,0.04
2,4,0.08,0.07
2,5,0.1,0.08
3,0,0.03,0.0
3,1,0.05,0.0
3,2,0.05,0.01
3,3,0.07,0.03
3,4,0.1,0.05
3,5,0.08,0.06
4,0,0.01,0.0
4,1,0.02,0.0
4,2,0.06,0.01
4,3,0.08,0.05
4,4,0.08,0.06
4,5,0.08,0.06
5,0,0.06,0.03
5,1,0.09,0.04
5,2,0.06,0.06
5,3,0.07,0.06
5,4,0.09,0.06
5,5,0.11,0.08
